index,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year,cluster,distance
87605,0.807,['Billie Eilish'],0.5760000000000001,189613,0.307,0,2VlLbhGLVJgdOW7kKdWWFc,0.00035499999999999996,11,0.0792,-12.732000000000001,0,Six Feet Under,77,11/17/2016,0.0428,67.513,0.157,2016,0,0.0
24225,0.909,"['Freddie Gibbs', 'The Alchemist']",0.451,153493,0.514,1,6kK3m2FiYERYrUF269y0Es,0.0151,6,0.36200000000000004,-12.63,1,Look At Me,64,5/29/2020,0.22,67.072,0.45899999999999996,2020,0,0.6903333216823612
7670,0.9279999999999999,['Mark Diamond'],0.45,195758,0.18899999999999997,0,3KH5aME71gFcHvReW54ew4,0.000843,8,0.10400000000000001,-11.423,1,You're My Girl (Lost Recording #6),61,11/11/2016,0.0519,66.945,0.22699999999999998,2016,0,1.4443490188122872
23966,0.46799999999999997,['Astrus*'],0.6709999999999999,131202,0.28800000000000003,1,0I3Lzmf3JDIOyFLcrruRjO,0.0,1,0.139,-14.175999999999998,1,She Wonders Why,63,2/7/2018,0.496,68.28699999999999,0.42,2018,0,1.7568877044435627
125888,0.5379999999999999,['potsu'],0.843,142183,0.256,0,7JgZbix8xDasAhbn3N7eIF,0.114,7,0.133,-13.565,0,[oops],69,5/17/2017,0.0752,68.997,0.655,2017,0,1.818587195056916
97466,0.922,['Tate McRae'],0.52,202496,0.11900000000000001,0,27r2uANqwK7XbsiAZnzf9e,0.0,0,0.0883,-12.148,1,One Day,76,12/24/2017,0.0407,69.217,0.355,2017,0,1.8263812159636825
23886,0.152,['Dreams of Dreams'],0.146,120380,0.7190000000000001,0,15C6LZS1l1ulhDaUe2TbDO,0.976,0,0.7120000000000001,-14.12,0,Oceanic Calmness,61,5/6/2017,0.0488,68.021,1e-05,2017,0,2.0845330091233842
161378,0.8390000000000001,['Lana Del Rey'],0.292,300683,0.33399999999999996,0,2mdEsXPu8ZmkHRRtAdC09e,0.345,6,0.151,-10.679,0,Cinnamon Girl,71,8/30/2019,0.0378,67.836,0.14800000000000002,2019,0,2.1273430414545276
169863,0.474,['Mac Miller'],0.677,298440,0.33,0,2Yv2mHzr5AQavVdwQjEokV,0.0008710000000000001,2,0.064,-11.198,1,Hand Me Downs,68,1/17/2020,0.149,68.985,0.336,2020,0,2.164511433616368
16051,0.966,['Lana Del Rey'],0.456,272485,0.126,0,3lG6OtGDsYAOALxEmubQQm,1.77e-06,2,0.107,-10.883,1,Happiness is a butterfly,70,8/30/2019,0.0444,68.61399999999999,0.162,2019,0,2.168927044594033
135492,0.982,['Frank Ocean'],0.35,202200,0.12,0,72794Eag03xdy7TO0KNuid,0.00028900000000000003,3,0.10300000000000001,-11.104000000000001,0,Cayendo (Side A - Acoustic),72,4/3/2020,0.0393,68.995,0.121,2020,0,2.2282846977789883
55646,0.7909999999999999,"['Freddie Gibbs', 'The Alchemist']",0.489,172427,0.52,1,1DA6UYm3jqf8b3ecWUbo6i,0.00278,5,0.10800000000000001,-11.265,1,Skinny Suge,63,5/29/2020,0.263,65.538,0.161,2020,0,2.4809770979646375
